TransactionID,CustomerID,ProductID,QuantityPurchased,TransactionDate,Price
1,103,120,3,2023-01-01,30.43
2,436,126,1,2023-01-01,15.19
3,861,55,3,2023-01-01,67.76
4,271,27,2,2023-01-01,65.77
5,107,118,1,2023-01-01,14.55
6,72,53,1,2023-01-01,26.27
7,701,39,2,2023-01-01,95.92
8,21,65,4,2023-01-01,17.19
9,615,145,4,2023-01-01,66.0
10,122,158,2,2023-01-01,22.27
11,467,181,2,2023-01-01,69.0
12,215,13,3,2023-01-01,18.78
13,331,21,1,2023-01-01,14.29
14,459,147,3,2023-01-01,53.98
15,88,53,2,2023-01-01,26.27
16,373,19,3,2023-01-01,96.33
17,100,57,2,2023-01-01,84.9
18,872,25,3,2023-01-01,90.34
19,664,31,3,2023-01-01,51.2
20,131,81,4,2023-01-01,76.79
21,662,183,2,2023-01-01,32.66
22,309,23,3,2023-01-01,41.4
23,770,32,1,2023-01-01,43.82
24,344,190,3,2023-01-01,92.82
25,492,74,3,2023-01-02,42.05
26,414,10,1,2023-01-02,57.39
27,806,200,2,2023-01-02,93.91
28,386,54,4,2023-01-02,82.01
29,192,52,4,2023-01-02,80.47
30,956,148,4,2023-01-02,67.98
31,277,160,1,2023-01-02,85.88
32,161,114,3,2023-01-02,78.16
33,460,14,2,2023-01-02,31.64
34,314,178,3,2023-01-02,11.21
35,22,156,4,2023-01-02,89.84
36,253,110,3,2023-01-02,25.42
37,748,53,1,2023-01-02,26.27
38,857,152,1,2023-01-02,63.79
39,561,79,2,2023-01-02,50.42
40,475,22,2,2023-01-02,23.28
41,59,30,4,2023-01-02,19.32
42,511,191,2,2023-01-02,48.47
43,682,4,3,2023-01-02,22.06
44,476,59,1,2023-01-02,51.94
45,700,8,1,2023-01-02,87.2
46,976,12,1,2023-01-02,87.46
47,783,119,2,2023-01-02,90.33
48,190,159,1,2023-01-02,17.42
49,958,34,1,2023-01-03,49.48
50,687,82,1,2023-01-03,72.65
51,958,98,4,2023-01-03,30.55
52,563,127,4,2023-01-03,94.35
53,876,75,2,2023-01-03,96.74
54,567,105,1,2023-01-03,16.09
55,244,49,2,2023-01-03,78.21
56,832,79,1,2023-01-03,50.42
57,505,185,1,2023-01-03,90.8
58,131,93,1,2023-01-03,29.67
59,485,154,2,2023-01-03,45.85
60,819,18,2,2023-01-03,99.35
61,647,96,1,2023-01-03,99.06
62,21,38,3,2023-01-03,52.63
63,841,87,2,2023-01-03,84.97
64,167,88,4,2023-01-03,72.79
65,274,50,2,2023-01-03,67.71
66,388,8,1,2023-01-03,87.2
67,601,169,3,2023-01-03,53.88
68,316,134,1,2023-01-03,52.27
69,14,69,4,2023-01-03,77.71
70,242,172,2,2023-01-03,85.78
71,777,121,2,2023-01-03,59.81
72,346,64,1,2023-01-03,31.05
73,565,157,1,2023-01-04,14.43
74,898,156,4,2023-01-04,89.84
75,340,139,3,2023-01-04,10.3
76,92,121,4,2023-01-04,59.81
77,367,65,3,2023-01-04,17.19
78,956,107,2,2023-01-04,72.89
79,455,147,3,2023-01-04,53.98
80,428,137,3,2023-01-04,45.43
81,509,155,2,2023-01-04,38.72
82,776,162,2,2023-01-04,87.55
83,943,172,2,2023-01-04,85.78
84,35,196,4,2023-01-04,66.05
85,206,100,2,2023-01-04,68.85
86,81,82,1,2023-01-04,72.65
87,932,143,2,2023-01-04,60.78
88,562,51,2,2023-01-04,9312.0
89,872,141,2,2023-01-04,85.04
90,388,83,3,2023-01-04,90.16
91,2,177,4,2023-01-04,39.0
92,390,198,2,2023-01-04,86.03
93,566,112,4,2023-01-04,11.95
94,106,56,1,2023-01-04,70.21
95,772,179,1,2023-01-04,85.91
96,822,165,2,2023-01-04,46.15
97,477,145,1,2023-01-05,66.0
98,703,186,4,2023-01-05,23.46
99,402,157,3,2023-01-05,14.43
100,730,161,2,2023-01-05,10.95
101,556,60,1,2023-01-05,67.3
102,162,120,4,2023-01-05,30.43
103,202,183,4,2023-01-05,32.66
104,958,138,1,2023-01-05,34.54
105,996,175,4,2023-01-05,28.05
106,270,23,4,2023-01-05,41.4
107,863,149,2,2023-01-05,92.64
108,816,13,4,2023-01-05,18.78
109,271,101,1,2023-01-05,16.85
110,456,161,2,2023-01-05,10.95
111,462,24,1,2023-01-05,84.69
112,727,108,3,2023-01-05,24.61
113,252,11,1,2023-01-05,58.55
114,702,17,1,2023-01-05,94.5
115,296,196,2,2023-01-05,66.05
116,725,175,4,2023-01-05,28.05
117,720,25,1,2023-01-05,90.34
118,749,94,2,2023-01-05,66.29
119,338,21,3,2023-01-05,14.29
120,879,84,2,2023-01-05,74.47
121,53,140,2,2023-01-06,74.78
122,792,37,4,2023-01-06,58.92
123,922,42,1,2023-01-06,82.72
124,217,145,3,2023-01-06,66.0
125,764,101,2,2023-01-06,16.85
126,188,48,1,2023-01-06,27.7
127,380,103,1,2023-01-06,93.81
128,493,28,2,2023-01-06,92.56
129,41,41,1,2023-01-06,27.03
130,157,99,2,2023-01-06,44.37
131,15,47,2,2023-01-06,56.53
132,813,146,2,2023-01-06,11.09
133,65,105,3,2023-01-06,16.09
134,857,124,2,2023-01-06,97.86
135,839,199,4,2023-01-06,27.62
136,521,13,1,2023-01-06,18.78
137,344,141,3,2023-01-06,85.04
138,129,100,1,2023-01-06,68.85
139,648,31,3,2023-01-06,51.2
140,472,130,4,2023-01-06,57.27
141,63,16,3,2023-01-06,87.93
142,139,137,3,2023-01-06,45.43
143,499,73,3,2023-01-06,68.55
144,593,166,1,2023-01-06,26.81
145,392,54,2,2023-01-07,82.01
146,675,184,1,2023-01-07,51.99
147,419,100,2,2023-01-07,68.85
148,289,109,1,2023-01-07,11.12
149,379,87,4,2023-01-07,84.97
150,773,173,4,2023-01-07,74.83
151,490,162,3,2023-01-07,87.55
152,231,137,4,2023-01-07,45.43
153,41,8,3,2023-01-07,87.2
154,28,7,2,2023-01-07,58.2
155,135,36,4,2023-01-07,99.46
156,201,18,2,2023-01-07,99.35
157,840,3,1,2023-01-07,78.72
158,780,28,2,2023-01-07,92.56
159,930,70,1,2023-01-07,43.77
160,33,172,2,2023-01-07,85.78
161,48,149,2,2023-01-07,92.64
162,503,28,4,2023-01-07,92.56
163,407,54,2,2023-01-07,82.01
164,574,182,4,2023-01-07,30.83
165,728,65,4,2023-01-07,17.19
166,805,100,3,2023-01-07,68.85
167,99,21,3,2023-01-07,14.29
168,684,13,1,2023-01-07,18.78
169,872,57,2,2023-01-08,84.9
170,726,49,1,2023-01-08,78.21
171,987,118,2,2023-01-08,14.55
172,547,54,3,2023-01-08,82.01
173,961,138,3,2023-01-08,34.54
174,739,53,2,2023-01-08,26.27
175,613,44,2,2023-01-08,81.93
176,943,47,3,2023-01-08,56.53
177,462,53,3,2023-01-08,26.27
178,643,74,1,2023-01-08,42.05
179,769,46,3,2023-01-08,12.99
180,5,13,2,2023-01-08,18.78
181,218,165,1,2023-01-08,46.15
182,503,102,2,2023-01-08,64.32
183,767,24,4,2023-01-08,84.69
184,398,2,1,2023-01-08,81.6
185,871,81,2,2023-01-08,76.79
186,795,100,3,2023-01-08,68.85
187,393,142,4,2023-01-08,45.55
188,207,138,2,2023-01-08,34.54
189,15,163,1,2023-01-08,50.61
190,858,153,2,2023-01-08,93.43
191,554,131,4,2023-01-08,85.13
192,892,111,1,2023-01-08,85.44
193,461,102,4,2023-01-09,64.32
194,691,17,2,2023-01-09,94.5
195,575,12,3,2023-01-09,87.46
196,864,182,3,2023-01-09,30.83
197,743,116,2,2023-01-09,80.45
198,241,24,2,2023-01-09,84.69
199,564,29,2,2023-01-09,51.74
200,96,171,1,2023-01-09,69.05
201,900,153,4,2023-01-09,93.43
202,734,122,4,2023-01-09,67.99
203,485,188,4,2023-01-09,36.22
204,407,90,2,2023-01-09,39.33
205,231,65,4,2023-01-09,17.19
206,749,84,2,2023-01-09,74.47
207,655,119,1,2023-01-09,90.33
208,171,156,3,2023-01-09,89.84
209,541,16,2,2023-01-09,87.93
210,36,175,2,2023-01-09,28.05
211,525,104,3,2023-01-09,86.53
212,160,92,3,2023-01-09,91.03
213,839,186,1,2023-01-09,23.46
214,699,27,4,2023-01-09,65.77
215,243,181,2,2023-01-09,69.0
216,86,170,4,2023-01-09,13.65
217,796,187,2,2023-01-10,84.34
218,578,175,1,2023-01-10,28.05
219,682,162,3,2023-01-10,87.55
220,557,165,1,2023-01-10,46.15
221,574,134,3,2023-01-10,52.27
222,953,135,4,2023-01-10,16.89
223,646,153,4,2023-01-10,93.43
224,796,33,1,2023-01-10,61.99
225,28,55,3,2023-01-10,67.76
226,620,186,1,2023-01-10,23.46
227,556,7,3,2023-01-10,58.2
228,340,57,3,2023-01-10,84.9
229,798,126,4,2023-01-10,15.19
230,958,12,4,2023-01-10,87.46
231,331,16,3,2023-01-10,87.93
232,640,43,3,2023-01-10,33.47
233,506,117,3,2023-01-10,77.15
234,348,135,4,2023-01-10,16.89
235,473,111,4,2023-01-10,85.44
236,231,51,2,2023-01-10,9312.0
237,190,160,3,2023-01-10,85.88
238,225,75,2,2023-01-10,96.74
239,385,8,3,2023-01-10,87.2
240,377,200,4,2023-01-10,93.91
241,283,45,2,2023-01-11,34.44
242,958,59,2,2023-01-11,51.94
243,633,132,1,2023-01-11,12.98
244,628,104,3,2023-01-11,86.53
245,973,195,4,2023-01-11,71.6
246,745,157,1,2023-01-11,14.43
247,259,157,1,2023-01-11,14.43
248,359,98,3,2023-01-11,30.55
249,710,156,1,2023-01-11,89.84
250,456,79,3,2023-01-11,50.42
251,411,124,1,2023-01-11,97.86
252,649,172,3,2023-01-11,85.78
253,318,4,4,2023-01-11,22.06
254,677,90,3,2023-01-11,39.33
255,225,104,3,2023-01-11,86.53
256,819,137,2,2023-01-11,45.43
257,234,119,4,2023-01-11,90.33
258,684,133,4,2023-01-11,34.15
259,664,56,4,2023-01-11,70.21
260,975,96,1,2023-01-11,99.06
261,827,178,2,2023-01-11,11.21
262,374,75,4,2023-01-11,96.74
263,672,143,1,2023-01-11,60.78
264,608,32,1,2023-01-11,43.82
265,472,28,1,2023-01-12,92.56
266,233,22,2,2023-01-12,23.28
267,692,17,1,2023-01-12,94.5
268,113,59,2,2023-01-12,51.94
269,830,90,3,2023-01-12,39.33
270,497,199,1,2023-01-12,27.62
271,442,106,4,2023-01-12,99.41
272,564,185,1,2023-01-12,90.8
273,268,26,3,2023-01-12,26.82
274,510,25,3,2023-01-12,90.34
275,807,138,1,2023-01-12,34.54
276,386,45,3,2023-01-12,34.44
277,387,83,2,2023-01-12,90.16
278,113,11,2,2023-01-12,58.55
279,613,181,1,2023-01-12,69.0
280,625,200,2,2023-01-12,93.91
281,952,104,2,2023-01-12,86.53
282,81,68,4,2023-01-12,42.59
283,699,95,1,2023-01-12,45.29
284,113,156,3,2023-01-12,89.84
285,2,65,1,2023-01-12,17.19
286,642,49,2,2023-01-12,78.21
287,220,175,4,2023-01-12,28.05
288,566,52,1,2023-01-12,80.47
289,855,102,1,2023-01-13,64.32
290,997,182,2,2023-01-13,30.83
291,736,188,2,2023-01-13,36.22
292,225,57,1,2023-01-13,84.9
293,385,47,2,2023-01-13,56.53
294,403,159,2,2023-01-13,17.42
295,638,174,2,2023-01-13,84.7
296,130,26,2,2023-01-13,26.82
297,53,114,2,2023-01-13,78.16
298,684,5,4,2023-01-13,17.97
299,730,84,2,2023-01-13,74.47
300,672,52,3,2023-01-13,80.47
301,710,105,1,2023-01-13,16.09
302,416,54,4,2023-01-13,82.01
303,247,161,4,2023-01-13,10.95
304,836,178,2,2023-01-13,11.21
305,439,166,1,2023-01-13,26.81
306,203,155,3,2023-01-13,38.72
307,184,15,2,2023-01-13,46.59
308,123,61,1,2023-01-13,36.82
309,401,122,2,2023-01-13,67.99
310,767,21,2,2023-01-13,14.29
311,294,46,2,2023-01-13,12.99
312,280,197,2,2023-01-13,23.76
313,837,134,2,2023-01-14,52.27
314,884,38,2,2023-01-14,52.63
315,610,62,2,2023-01-14,26.43
316,198,86,3,2023-01-14,41.37
317,982,190,4,2023-01-14,92.82
318,907,78,3,2023-01-14,92.83
319,511,46,2,2023-01-14,12.99
320,752,141,2,2023-01-14,85.04
321,144,3,3,2023-01-14,78.72
322,609,6,3,2023-01-14,91.73
323,201,93,4,2023-01-14,29.67
324,124,8,3,2023-01-14,87.2
325,187,172,4,2023-01-14,85.78
326,326,108,2,2023-01-14,24.61
327,464,161,1,2023-01-14,10.95
328,349,75,1,2023-01-14,96.74
329,771,77,1,2023-01-14,86.32
330,660,50,1,2023-01-14,67.71
331,764,11,2,2023-01-14,58.55
332,955,95,1,2023-01-14,45.29
333,932,156,3,2023-01-14,89.84
334,403,70,3,2023-01-14,43.77
335,346,169,1,2023-01-14,53.88
336,963,16,3,2023-01-14,87.93
337,511,68,4,2023-01-15,42.59
338,147,99,2,2023-01-15,44.37
339,148,48,1,2023-01-15,27.7
340,864,184,1,2023-01-15,51.99
341,711,64,2,2023-01-15,31.05
342,820,187,3,2023-01-15,84.34
343,489,90,2,2023-01-15,39.33
344,929,190,2,2023-01-15,92.82
345,936,76,3,2023-01-15,94.25
346,640,139,2,2023-01-15,10.3
347,551,101,3,2023-01-15,16.85
348,338,89,3,2023-01-15,72.22
349,872,18,2,2023-01-15,99.35
350,641,19,4,2023-01-15,96.33
351,779,55,3,2023-01-15,67.76
352,988,102,2,2023-01-15,64.32
353,953,118,3,2023-01-15,14.55
354,473,154,4,2023-01-15,45.85
355,946,134,4,2023-01-15,52.27
356,151,4,1,2023-01-15,22.06
357,415,108,3,2023-01-15,24.61
358,990,115,3,2023-01-15,62.75
359,298,29,2,2023-01-15,51.74
360,611,59,3,2023-01-15,51.94
361,263,125,1,2023-01-16,53.93
362,764,98,4,2023-01-16,30.55
363,144,17,4,2023-01-16,94.5
364,346,107,1,2023-01-16,72.89
365,624,43,3,2023-01-16,33.47
366,572,80,3,2023-01-16,58.28
367,881,194,1,2023-01-16,57.65
368,2,162,2,2023-01-16,87.55
369,897,8,4,2023-01-16,87.2
370,304,141,1,2023-01-16,85.04
371,254,106,1,2023-01-16,99.41
372,652,8,3,2023-01-16,87.2
373,453,96,4,2023-01-16,99.06
374,37,94,3,2023-01-16,66.29
375,160,65,1,2023-01-16,17.19
376,9,171,2,2023-01-16,69.05
377,233,39,4,2023-01-16,95.92
378,99,81,1,2023-01-16,76.79
379,659,187,1,2023-01-16,84.34
380,816,84,2,2023-01-16,74.47
381,208,88,1,2023-01-16,72.79
382,131,86,1,2023-01-16,41.37
383,404,93,4,2023-01-16,29.67
384,152,86,4,2023-01-16,41.37
385,54,44,4,2023-01-17,81.93
386,120,137,3,2023-01-17,45.43
387,673,165,2,2023-01-17,46.15
388,920,74,4,2023-01-17,42.05
389,628,36,3,2023-01-17,99.46
390,587,101,3,2023-01-17,16.85
391,625,156,2,2023-01-17,89.84
392,968,170,2,2023-01-17,13.65
393,420,171,1,2023-01-17,69.05
394,422,170,3,2023-01-17,13.65
395,104,104,4,2023-01-17,86.53
396,852,66,2,2023-01-17,10.05
397,254,55,3,2023-01-17,67.76
398,227,200,4,2023-01-17,93.91
399,112,176,3,2023-01-17,90.0
400,510,91,2,2023-01-17,80.7
401,473,22,1,2023-01-17,23.28
402,99,101,3,2023-01-17,16.85
403,153,155,4,2023-01-17,38.72
404,861,121,2,2023-01-17,59.81
405,914,93,1,2023-01-17,29.67
406,896,195,4,2023-01-17,71.6
407,878,108,4,2023-01-17,24.61
408,338,141,4,2023-01-17,85.04
409,706,173,3,2023-01-18,74.83
410,822,10,2,2023-01-18,57.39
411,163,9,4,2023-01-18,15.23
412,720,182,3,2023-01-18,30.83
413,957,155,2,2023-01-18,38.72
414,681,34,2,2023-01-18,49.48
415,996,129,3,2023-01-18,72.93
416,161,160,3,2023-01-18,85.88
417,580,89,4,2023-01-18,72.22
418,801,93,2,2023-01-18,29.67
419,398,71,1,2023-01-18,53.74
420,277,67,3,2023-01-18,64.75
421,816,148,2,2023-01-18,67.98
422,916,117,2,2023-01-18,77.15
423,504,94,4,2023-01-18,66.29
424,896,163,1,2023-01-18,50.61
425,392,99,4,2023-01-18,44.37
426,135,113,1,2023-01-18,30.98
427,195,103,1,2023-01-18,93.81
428,401,91,3,2023-01-18,80.7
429,640,90,2,2023-01-18,39.33
430,33,17,2,2023-01-18,94.5
431,688,18,2,2023-01-18,99.35
432,460,173,1,2023-01-18,74.83
433,955,116,2,2023-01-19,80.45
434,883,93,3,2023-01-19,29.67
435,470,181,1,2023-01-19,69.0
436,375,91,1,2023-01-19,80.7
437,22,82,1,2023-01-19,72.65
438,750,68,1,2023-01-19,42.59
439,670,193,3,2023-01-19,82.2
440,38,114,2,2023-01-19,78.16
441,230,1,3,2023-01-19,46.11
442,365,58,2,2023-01-19,61.64
443,563,154,3,2023-01-19,45.85
444,438,109,4,2023-01-19,11.12
445,776,148,4,2023-01-19,67.98
446,283,116,4,2023-01-19,80.45
447,27,87,4,2023-01-19,84.97
448,226,10,1,2023-01-19,57.39
449,277,59,1,2023-01-19,51.94
450,798,41,3,2023-01-19,27.03
451,609,105,3,2023-01-19,16.09
452,284,133,4,2023-01-19,34.15
453,879,122,2,2023-01-19,67.99
454,960,193,4,2023-01-19,82.2
455,481,145,3,2023-01-19,66.0
456,453,22,4,2023-01-19,23.28
457,829,98,3,2023-01-20,30.55
458,816,169,4,2023-01-20,53.88
459,659,68,2,2023-01-20,42.59
460,516,197,4,2023-01-20,23.76
461,547,139,2,2023-01-20,10.3
462,192,56,2,2023-01-20,70.21
463,49,179,3,2023-01-20,85.91
464,512,149,2,2023-01-20,92.64
465,17,99,1,2023-01-20,44.37
466,172,76,1,2023-01-20,94.25
467,220,26,1,2023-01-20,26.82
468,158,115,3,2023-01-20,62.75
469,477,147,1,2023-01-20,53.98
470,46,109,3,2023-01-20,11.12
471,373,188,3,2023-01-20,36.22
472,518,199,1,2023-01-20,27.62
473,99,47,2,2023-01-20,56.53
474,892,71,4,2023-01-20,53.74
475,745,154,3,2023-01-20,45.85
476,37,40,1,2023-01-20,24.03
477,280,133,3,2023-01-20,34.15
478,349,149,2,2023-01-20,92.64
479,497,132,2,2023-01-20,12.98
480,302,23,1,2023-01-20,41.4
481,181,106,3,2023-01-21,99.41
482,607,84,4,2023-01-21,74.47
483,99,143,4,2023-01-21,60.78
484,700,116,3,2023-01-21,80.45
485,993,109,3,2023-01-21,11.12
486,116,136,3,2023-01-21,73.53
487,191,41,1,2023-01-21,27.03
488,253,112,2,2023-01-21,11.95
489,981,147,4,2023-01-21,53.98
490,928,112,1,2023-01-21,11.95
491,983,103,3,2023-01-21,93.81
492,161,46,3,2023-01-21,12.99
493,256,156,2,2023-01-21,89.84
494,323,68,3,2023-01-21,42.59
495,128,122,1,2023-01-21,67.99
496,18,15,1,2023-01-21,46.59
497,793,165,2,2023-01-21,46.15
498,735,129,1,2023-01-21,72.93
499,566,195,4,2023-01-21,71.6
500,570,111,1,2023-01-21,85.44
501,323,24,1,2023-01-21,84.69
502,872,27,1,2023-01-21,65.77
503,686,40,4,2023-01-21,24.03
504,792,191,3,2023-01-21,48.47
505,626,189,1,2023-01-22,82.77
506,288,164,2,2023-01-22,10.36
507,943,24,4,2023-01-22,84.69
508,854,24,2,2023-01-22,84.69
509,663,4,1,2023-01-22,22.06
510,962,67,2,2023-01-22,64.75
511,639,34,1,2023-01-22,49.48
512,155,185,4,2023-01-22,90.8
513,490,177,2,2023-01-22,39.0
514,386,181,2,2023-01-22,69.0
515,986,116,1,2023-01-22,80.45
516,785,23,1,2023-01-22,41.4
517,104,109,3,2023-01-22,11.12
518,929,69,1,2023-01-22,77.71
519,393,95,1,2023-01-22,45.29
520,811,181,3,2023-01-22,69.0
521,246,62,1,2023-01-22,26.43
522,176,169,1,2023-01-22,53.88
523,39,57,3,2023-01-22,84.9
524,477,188,4,2023-01-22,36.22
525,682,54,4,2023-01-22,82.01
526,759,70,1,2023-01-22,43.77
527,538,101,1,2023-01-22,16.85
528,867,57,3,2023-01-22,84.9
529,818,138,3,2023-01-23,34.54
530,921,168,4,2023-01-23,71.14
531,408,135,2,2023-01-23,16.89
532,525,103,1,2023-01-23,93.81
533,828,166,2,2023-01-23,26.81
534,506,85,2,2023-01-23,99.81
535,903,61,3,2023-01-23,36.82
536,825,3,1,2023-01-23,78.72
537,36,128,1,2023-01-23,62.76
538,685,179,3,2023-01-23,85.91
539,20,86,2,2023-01-23,41.37
540,321,47,3,2023-01-23,56.53
541,776,196,4,2023-01-23,66.05
542,512,76,1,2023-01-23,94.25
543,400,38,4,2023-01-23,52.63
544,654,164,3,2023-01-23,10.36
545,972,169,1,2023-01-23,53.88
546,883,197,4,2023-01-23,23.76
547,471,141,4,2023-01-23,85.04
548,143,87,2,2023-01-23,84.97
549,92,58,1,2023-01-23,61.64
